Place_Id,Place_Name,Category,City,Rating,Lat,Long
171,Candi Ijo,Budaya,Yogyakarta,4.6,-7.7838276,110.5118987
172,Pantai Indrayanti,Bahari,Yogyakarta,4.5,-8.1508415,110.6129852
173,Pantai Nglambor,Bahari,Yogyakarta,4.4,-8.1827028,110.6792399
174,Pasar Beringharjo,Pusat Perbelanjaan,Yogyakarta,4.5,-7.7987943,110.367443
175,Museum Ullen Sentalu,Budaya,Yogyakarta,4.7,-7.5978656,110.4233959
176,Museum Gunung Merapi,Budaya,Yogyakarta,4.4,-7.6159272,110.4243329
177,Pantai Parangtritis,Bahari,Yogyakarta,4.5,-8.024608,110.3298045
178,Goa Pindul,Cagar Alam,Yogyakarta,4.5,-7.9339721,110.651966
179,Candi Ratu Boko,Budaya,Yogyakarta,4.6,-7.7705416,110.4894158
180,Pantai Depok Jogja,Bahari,Yogyakarta,4.3,-8.0137087,110.2914777
181,Pantai Sundak,Bahari,Yogyakarta,4.5,-8.147072,110.6079043
182,Hutan Mangrove Kulon Progo,Bahari,Yogyakarta,4.1,-7.8933459,110.0198257
183,Jogja Bay Pirates Adventure Waterpark,Taman Hiburan,Yogyakarta,4.4,-7.7478461,110.4188754
184,Pantai Sepanjang,Bahari,Yogyakarta,4.4,-8.1366656,110.5659962
185,Pantai Krakal,Bahari,Yogyakarta,4.5,-8.145019,110.5998857
186,Pantai Glagah,Bahari,Yogyakarta,4.4,-7.9119427,110.0647339
187,Pantai Siung,Bahari,Yogyakarta,4.6,-8.1818233,110.6832394
188,Pantai Sadranan,Bahari,Yogyakarta,4.6,-8.145668,110.6043914
189,Pantai Nguluran,Bahari,Yogyakarta,4.1,-8.1060061,110.4618655
190,Pantai Samas,Bahari,Yogyakarta,4.0,-8.0045535,110.2703756
191,Pantai Drini,Bahari,Yogyakarta,4.5,-8.1384509,110.577522
192,Air Terjun Sri Gethuk,Cagar Alam,Yogyakarta,4.4,-7.943178,110.48924
193,Candi Sewu,Budaya,Yogyakarta,4.6,-7.7439217,110.4929095
194,Pantai Wediombo,Bahari,Yogyakarta,4.5,-8.1862462,110.709901
195,Pantai Jogan,Bahari,Yogyakarta,4.4,-8.180135,110.6763715
196,Pantai Ngrenehan,Bahari,Yogyakarta,4.4,-8.1211475,110.5142337
197,Pantai Jungwok,Bahari,Yogyakarta,4.6,-8.197822,110.7123397
198,Pantai Greweng,Bahari,Yogyakarta,4.6,-8.1978644,110.7186216
199,Pantai Sedahan,Bahari,Yogyakarta,4.5,-8.1978943,110.7208535
200,Pantai Watu Kodok,Bahari,Yogyakarta,4.6,-8.1370556,110.5746611
201,Pantai Kesirat,Bahari,Yogyakarta,4.6,-8.0961535,110.4350483
202,Pantai Ngandong,Bahari,Yogyakarta,4.5,-8.146423,110.6061408
203,Galaxy Waterpark Jogja,Taman Hiburan,Yogyakarta,4.3,-7.8159633,110.4136917
204,Desa Wisata Pulesari,Taman Hiburan,Yogyakarta,4.4,-7.6258806,110.371698
205,Desa Wisata Tembi,Taman Hiburan,Yogyakarta,4.5,-7.8725673,110.3546963
206,Wisata Kaliurang,Cagar Alam,Yogyakarta,4.4,-7.6120675,110.4205209
207,Heha Sky View,Taman Hiburan,Yogyakarta,4.4,-7.8496144,110.478324
208,Taman Sungai Mudal,Cagar Alam,Yogyakarta,4.6,-7.7628136,110.1161626
209,Pantai Sanglen,Bahari,Yogyakarta,4.5,-8.1367456,110.5716362
210,Pantai Congot,Bahari,Yogyakarta,4.3,-7.9075425,110.0535658
211,Gunung Tangkuban Perahu,Cagar Alam,Bandung,4.5,-6.7596377,107.6097807
212,Jalan Braga,Budaya,Bandung,4.7,-6.9150534,107.6089842
213,Gedung Sate,Budaya,Bandung,4.6,-6.9024812,107.61881
214,Trans Studio Bandung,Taman Hiburan,Bandung,4.5,-6.9250943,107.6364944
215,Taman Hutan Raya Ir. H. Djuanda,Cagar Alam,Bandung,4.5,-6.8565791,107.6323734
216,Farm House Susu Lembang,Taman Hiburan,Bandung,4.4,-6.832969,107.6056183
217,Kebun Binatang Bandung,Cagar Alam,Bandung,4.0,-6.8897177,107.6077282
218,Kawah Putih,Cagar Alam,Bandung,4.5,-7.1662039,107.4021256
219,Tebing Karaton,Cagar Alam,Bandung,4.5,-6.8340683,107.6636151
220,Dusun Bambu,Taman Hiburan,Bandung,4.5,-6.7897147,107.5791627
221,Museum Geologi Bandung,Budaya,Bandung,4.6,-6.9007162,107.6214553
222,Museum Konferensi Asia Afrika,Budaya,Bandung,4.6,-6.9211092,107.609597
223,Masjid Raya Bandung,Tempat Ibadah,Bandung,4.7,-6.9216897,107.6061399
224,Dago Dreampark,Taman Hiburan,Bandung,4.2,-6.8486423,107.625939
225,Orchid Forest Cikole,Taman Hiburan,Bandung,4.6,-6.780493,107.637475
226,Kawasan Punclut,Taman Hiburan,Bandung,4.4,-6.8419756,107.622824
227,Alun-Alun Kota Bandung,Taman Hiburan,Bandung,4.6,-6.9218571,107.6070141
228,Museum Sri Baduga,Budaya,Bandung,4.5,-6.9375748,107.603775
229,Rabbit Town,Taman Hiburan,Bandung,4.0,-6.8669518,107.6100859
230,Stone Garden Citatah,Taman Hiburan,Bandung,4.4,-6.8281528,107.4350179
231,The Great Asia Africa,Taman Hiburan,Bandung,4.4,-6.833123,107.6041595
232,Bukit Moko,Cagar Alam,Bandung,4.5,-6.8422202,107.6767988
233,Gunung Papandayan,Cagar Alam,Bandung,4.6,-7.3193253,107.7310494
234,Amazing Art World,Budaya,Bandung,4.5,-6.8516591,107.5955534
235,Gua Belanda,Cagar Alam,Bandung,4.4,-6.8544594,107.6377907
236,Taman Balai Kota Bandung,Taman Hiburan,Bandung,4.6,-6.912966,107.6096031
237,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,4.3,-6.9614032,107.6227321
238,Gunung Manglayang,Cagar Alam,Bandung,4.5,-6.8761111,107.7436111
239,Lembang Park & Zoo,Cagar Alam,Bandung,4.5,-6.8059154,107.5919726
240,Taman Lalu Lintas Ade Irma Suryani Nasution,Taman Hiburan,Bandung,4.4,-6.911211,107.6133389
241,Lawangwangi Creative Space,Taman Hiburan,Bandung,4.4,-6.847898,107.6276146
242,Curug Dago,Cagar Alam,Bandung,4.0,-6.8655225,107.6181878
243,Kampung Korea Bandung,Budaya,Bandung,4.1,-6.9154546,107.640769
244,Kampung Batu Malakasari,Taman Hiburan,Bandung,4.1,-7.0093633,107.6069444
245,Jendela Alam,Taman Hiburan,Bandung,4.4,-6.819604,107.5964519
246,Curug Tilu Leuwi Opat,Cagar Alam,Bandung,4.4,-6.7905692,107.5826388
247,Kiara Artha Park,Taman Hiburan,Bandung,4.4,-6.9159459,107.6421462
248,NuArt Sculpture Park,Taman Hiburan,Bandung,4.7,-6.8778589,107.5720263
249,Upside Down World Bandung,Taman Hiburan,Bandung,4.0,-6.8963,107.617
250,Pesona Nirwana Waterpark & Cottages,Taman Hiburan,Bandung,4.1,-7.0409154,107.5269156
251,Taman Lansia,Taman Hiburan,Bandung,4.4,-6.9021326,107.6209387
252,Kampoeng Tulip,Taman Hiburan,Bandung,3.8,-6.963162,107.66195
253,Selasar Sunaryo Art Space,Taman Hiburan,Bandung,4.6,-6.8585406,107.6365486
254,Teras Cikapundung BBWS,Taman Hiburan,Bandung,4.3,-6.8844199,107.6068344
255,Museum Barli,Budaya,Bandung,4.4,-6.8782387,107.5875349
256,Wisata Batu Kuda,Cagar Alam,Bandung,4.4,-6.8936106,107.7447399
257,Monumen Bandung Lautan Api,Budaya,Bandung,4.3,-6.9338497,107.604925
258,Museum Gedung Sate,Budaya,Bandung,4.6,-6.9026379,107.619169
259,Monumen Perjuangan Rakyat Jawa Barat,Budaya,Bandung,4.5,-6.8934327,107.6185513
260,Museum Pos Indonesia,Budaya,Bandung,4.5,-6.902013,107.6197787
261,Ciwangun Indah Camp Official,Cagar Alam,Bandung,4.3,-6.786939,107.5837331
262,Wot Batu,Cagar Alam,Bandung,4.7,-6.8597013,107.6360983
263,Curug Batu Templek,Cagar Alam,Bandung,4.1,-6.8743633,107.6844023
264,Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Bandung,4.8,-6.9148394,107.6105511
265,Museum Mandala Wangsit Siliwangi,Budaya,Bandung,4.4,-6.9173405,107.6112627
266,Caringin Tilu,Cagar Alam,Bandung,4.4,-6.8580464,107.6647084
267,Panama Park 825,Taman Hiburan,Bandung,4.4,-6.9119768,107.569674
268,Sudut Pandang Bandung,Taman Hiburan,Bandung,4.6,-6.8423638,107.6232403
269,Bumi Perkemahan Batu Kuda,Cagar Alam,Bandung,4.5,-6.8932173,107.7448856
270,Bukit Bintang,Cagar Alam,Bandung,4.6,-6.8417795,107.6768585
271,Taman Vanda,Taman Hiburan,Bandung,4.3,-6.9140478,107.6101684
272,Taman Budaya Jawa Barat,Budaya,Bandung,4.3,-6.870099,107.6164386
273,Curug Bugbrug,Cagar Alam,Bandung,4.3,-6.790389,107.5777632
274,Babakan Siliwangi City Forest Path Bandung,Cagar Alam,Bandung,4.6,-6.8853746,107.6111899
275,Curug Cipanas,Cagar Alam,Bandung,3.9,-6.7991958,107.5922088
276,Taman Jomblo,Taman Hiburan,Bandung,4.1,-6.8980549,107.6094673
277,Peta Park,Taman Hiburan,Bandung,4.3,-6.9317951,107.5883026
278,Masjid Daarut Tauhiid Bandung,Tempat Ibadah,Bandung,4.9,-6.863527,107.5899194
279,Masjid Agung Trans Studio Bandung,Tempat Ibadah,Bandung,4.8,-6.9259635,107.6354278
280,Gereja Tiberias Indonesia Bandung,Tempat Ibadah,Bandung,4.9,-6.9347698,107.6253513
281,Tektona Waterpark,Taman Hiburan,Bandung,3.8,-7.0096022,107.6062161
282,Curug Cilengkrang,Cagar Alam,Bandung,4.0,-6.8908877,107.7307085
283,Jembatan Pasupati,Taman Hiburan,Bandung,4.6,-6.9000987,107.6046708
284,Pasar Baru,Pusat Perbelanjaan,Bandung,4.3,-6.9177044,107.6036014
285,Taman Sejarah Bandung,Budaya,Bandung,4.6,-6.9103086,107.6098619
286,Roemah Seni Sarasvati,Budaya,Bandung,4.4,-6.9204173,107.5996425
287,Puspa Iptek Sundial,Taman Hiburan,Bandung,4.4,-6.852208,107.493882
288,Masjid Salman ITB,Tempat Ibadah,Bandung,4.8,-6.8936643,107.611271
289,Curug Aseupan,Cagar Alam,Bandung,4.7,-6.7875652,107.5822844
290,Museum Pendidikan Nasional,Budaya,Bandung,4.6,-6.8597474,107.5941693
291,Water Park Bandung Indah,Taman Hiburan,Bandung,4.0,-6.9805807,107.5856567
292,Curug Anom,Cagar Alam,Bandung,4.6,-6.8116009,107.5695213
293,Taman Badak,Taman Hiburan,Bandung,4.5,-6.9132752,107.6094908
294,Taman Film,Budaya,Bandung,4.3,-6.8986869,107.6077451
295,Museum Nike Ardilla,Budaya,Bandung,4.6,-6.9406015,107.6725445
296,Batununggal Indah Club,Taman Hiburan,Bandung,4.4,-6.96323,107.626416
297,Mountain View Golf Club,Cagar Alam,Bandung,4.4,-6.8629384,107.6482191
298,Gunung Lalakon,Cagar Alam,Bandung,4.8,-6.9580556,107.5205556
299,Sendang Geulis Kahuripan,Cagar Alam,Bandung,4.3,-6.7495268,107.478658
300,Sanghyang Heuleut,Cagar Alam,Bandung,4.4,-6.8765131,107.3422183
301,Lereng Anteng Panoramic Coffee Place,Cagar Alam,Bandung,4.4,-6.842535,107.622698
302,Masjid Pusdai,Tempat Ibadah,Bandung,4.7,-6.9000672,107.62587
303,Masjid Al-Imtizaj,Tempat Ibadah,Bandung,4.7,-6.919425,107.6078639
304,Situ Cileunca,Cagar Alam,Bandung,4.4,-7.1923281,107.5510012
305,Sunrise Point Cukul,Cagar Alam,Bandung,4.6,-7.233689,107.5342933
306,Sungai Palayangan,Cagar Alam,Bandung,4.6,-7.1965023,107.5454594
307,Perkebunan Teh Malabar,Cagar Alam,Bandung,4.4,-7.2274463,107.6050805
308,Pemandian Air Panas Ciater,Cagar Alam,Bandung,4.3,-6.7380853,107.6566092
309,Observatorium Bosscha,Cagar Alam,Bandung,4.5,-6.8246311,107.6171106
